index,Year,Player,Tm,Age,G,GS,MPG,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,eFG%,3P%,2P%,FT%,WS/48,OBPM,DBPM,BPM,VORP,PTS_per_game,AST_per_game,TRB_per_game,STL_per_game,BLK_per_game,TOV_per_game,Position,nba_team
21,1989,Ricky Berry,SAC,24.0,64.0,21.0,21.969,13.1,0.552,0.282,0.293,4.3,10.9,7.5,8.5,1.3,0.9,11.4,21.1,0.507,0.406,0.467,0.789,0.083,0.0,-1.8,-1.7,0.1,11.031,1.25,3.078,0.578,0.344,1.281,G,None
22,1989,Walter Berry,TOT,24.0,69.0,31.0,19.638,13.2,0.54,0.004,0.285,6.9,14.8,10.8,8.5,1.0,2.1,13.6,19.5,0.508,0.5,0.507,0.699,0.085,-1.9,-0.1,-2.0,0.0,8.826,1.116,3.87,0.42,0.696,1.29,F,None
23,1989,Walter Berry,NJN,24.0,29.0,17.0,19.172,11.7,0.501,0.0,0.273,6.2,17.1,11.5,5.6,0.9,1.4,13.4,22.0,0.468,,0.468,0.683,0.027,-3.9,-1.5,-5.4,-0.5,8.931,0.69,3.966,0.345,0.448,1.379,F,None
24,1989,Walter Berry,HOU,24.0,40.0,14.0,19.975,14.4,0.573,0.007,0.296,7.4,13.2,10.3,10.5,1.1,2.6,13.8,17.8,0.543,0.5,0.541,0.713,0.125,-0.5,0.9,0.4,0.5,8.75,1.425,3.8,0.475,0.875,1.225,F,None
25,1989,Larry Bird*,BOS,32.0,6.0,6.0,31.5,19.8,0.516,0.0,0.183,0.6,21.6,11.2,24.3,1.6,1.6,8.9,27.1,0.471,,0.471,0.947,0.129,0.6,-0.1,0.5,0.1,19.333,4.833,6.167,1.0,0.833,1.833,F,None
26,1989,Rolando Blackman,DAL,29.0,78.0,78.0,37.769,15.9,0.543,0.068,0.296,2.6,7.5,5.1,15.8,1.1,0.4,10.5,23.2,0.488,0.353,0.485,0.854,0.092,1.1,-1.7,-0.6,1.0,19.667,3.692,3.5,0.833,0.256,2.115,G,None
27,1989,Muggsy Bogues,CHH,24.0,79.0,21.0,22.215,15.3,0.463,0.031,0.211,3.2,7.4,5.2,46.2,3.0,0.2,21.4,13.6,0.427,0.077,0.437,0.75,0.07,-1.2,-1.9,-3.1,-0.5,5.354,7.848,2.089,1.405,0.089,1.57,G,None
28,1989,Manute Bol,GSW,26.0,80.0,4.0,22.112,9.8,0.421,0.265,0.192,6.6,19.5,13.1,1.8,0.3,10.8,17.5,9.7,0.398,0.22,0.423,0.606,0.046,-5.7,4.7,-1.0,0.4,3.925,0.338,5.775,0.138,4.312,0.988,C,None
29,1989,Anthony Bowie,SAS,25.0,18.0,5.0,24.333,10.6,0.515,0.035,0.104,6.0,8.1,7.0,9.3,1.9,0.5,12.7,15.3,0.503,0.2,0.511,0.667,0.054,-1.9,-0.6,-2.5,-0.1,8.611,1.611,3.111,1.0,0.222,1.222,G,None
30,1989,Sam Bowie,POR,27.0,20.0,0.0,20.6,13.7,0.49,0.046,0.32,9.2,19.1,14.0,11.4,0.8,4.7,15.9,19.4,0.467,0.714,0.438,0.571,0.063,-2.7,1.4,-1.2,0.1,8.55,1.8,5.3,0.35,1.65,1.65,C,None
31,1989,Frank Brickowski,SAS,29.0,64.0,60.0,28.469,15.0,0.563,0.003,0.43,8.5,16.3,12.2,10.4,2.6,1.1,17.5,20.1,0.515,0.0,0.517,0.715,0.094,-0.5,0.9,0.4,1.1,13.672,2.047,6.344,1.594,0.547,2.578,C,None
32,1989,Scott Brooks,PHI,23.0,82.0,6.0,16.732,14.0,0.533,0.412,0.186,1.5,6.2,3.8,28.9,2.4,0.1,13.9,14.1,0.495,0.359,0.463,0.884,0.103,1.2,-2.7,-1.4,0.2,5.22,3.732,1.146,0.841,0.037,0.793,G,None
33,1989,Mike Brown,UTA,25.0,66.0,16.0,15.924,8.4,0.491,0.0,0.524,10.5,16.3,13.6,5.5,1.2,1.0,20.1,15.4,0.419,,0.419,0.708,0.064,-3.8,1.2,-2.6,-0.2,4.545,0.621,3.909,0.379,0.258,1.167,C,None
34,1989,Michael Cage,SEA,27.0,80.0,71.0,31.7,14.7,0.553,0.006,0.421,11.8,22.3,16.9,6.4,1.7,1.2,14.2,13.7,0.498,0.0,0.502,0.743,0.126,0.3,1.3,1.6,2.3,10.312,1.575,9.562,1.15,0.65,1.55,F,None
35,1989,Antoine Carr,ATL,27.0,78.0,12.0,19.077,12.7,0.541,0.002,0.323,7.6,12.5,10.0,8.6,1.0,2.5,13.2,17.0,0.48,0.0,0.481,0.855,0.106,-0.7,0.4,-0.3,0.6,7.462,1.167,3.513,0.397,0.795,1.051,F,None
36,1989,Joe Barry,NJN,30.0,64.0,62.0,31.188,14.2,0.497,0.0,0.272,6.4,20.4,13.2,8.0,1.7,2.4,13.6,21.5,0.448,,0.448,0.8,0.056,-2.6,1.2,-1.4,0.3,14.094,1.641,7.391,1.109,1.266,2.234,C,None
37,1989,Bill Cartwright,CHI,31.0,78.0,76.0,29.91,11.0,0.535,0.0,0.401,7.8,17.7,12.9,5.4,0.4,1.1,17.4,20.1,0.475,,0.475,0.766,0.042,-3.5,-1.3,-4.8,-1.7,12.385,1.154,6.679,0.269,0.526,2.436,C,None
38,1989,Terry Catledge,WSB,25.0,79.0,77.0,26.291,12.6,0.518,0.007,0.373,11.6,18.8,15.0,5.0,1.1,0.7,13.1,17.6,0.491,0.2,0.493,0.602,0.077,-1.3,-0.6,-1.9,0.0,10.405,0.949,7.241,0.582,0.316,1.519,F,None
39,1989,Tom Chambers,PHO,29.0,81.0,81.0,37.062,19.3,0.547,0.052,0.364,5.3,18.4,12.1,11.1,1.3,1.0,10.8,28.2,0.48,0.326,0.479,0.851,0.146,1.2,0.0,1.2,2.4,25.741,2.852,8.444,1.074,0.679,2.852,F,Second
40,1989,Rex Chapman,CHH,21.0,75.0,44.0,29.587,12.6,0.467,0.15,0.153,3.5,5.9,4.7,12.6,1.5,0.7,7.7,27.1,0.437,0.314,0.431,0.795,-0.005,-0.7,-2.5,-3.2,-0.7,16.893,2.347,2.493,0.933,0.333,1.507,G,None
41,1989,Maurice Cheeks,PHI,32.0,71.0,70.0,32.366,16.5,0.527,0.019,0.28,1.9,7.1,4.5,32.6,2.2,0.4,12.9,16.2,0.483,0.077,0.49,0.774,0.11,1.4,-1.5,-0.1,1.1,11.606,7.803,2.577,1.479,0.239,1.634,G,None
42,1989,Derrick Chievous,HOU,21.0,81.0,1.0,19.0,11.6,0.506,0.038,0.385,8.1,9.9,9.0,7.4,1.5,0.4,15.5,22.9,0.441,0.208,0.446,0.783,0.05,-2.5,-1.4,-3.9,-0.7,9.259,0.951,3.16,0.593,0.136,1.679,F,None
43,1989,Steve Colter,WSB,26.0,80.0,5.0,17.812,14.1,0.503,0.055,0.365,4.6,9.6,7.0,21.2,2.3,0.6,10.8,16.7,0.447,0.12,0.463,0.749,0.105,-0.1,0.0,-0.1,0.7,6.675,2.812,2.275,0.862,0.175,0.8,G,None
44,1989,Dallas Comegys,SAS,24.0,67.0,10.0,16.701,11.9,0.532,0.006,0.472,10.5,12.5,11.5,3.7,1.7,3.4,17.1,17.3,0.487,0.0,0.49,0.658,0.06,-3.0,0.1,-2.9,-0.3,6.537,0.448,3.493,0.627,0.94,1.269,F,None
45,1989,Lester Conner,NJN,29.0,82.0,63.0,30.878,17.2,0.531,0.055,0.398,4.3,11.6,7.8,33.2,3.4,0.1,18.6,15.8,0.467,0.351,0.463,0.788,0.118,1.2,1.3,2.4,2.8,10.28,7.366,4.329,2.207,0.061,2.207,G,None
46,1989,Darwin Cook,TOT,30.0,66.0,4.0,17.318,11.8,0.495,0.086,0.163,3.0,7.2,5.0,15.6,2.8,0.5,14.7,20.3,0.464,0.195,0.481,0.808,0.039,-2.3,-1.1,-3.3,-0.4,7.682,1.924,1.621,1.076,0.152,1.333,G,None
47,1989,Darwin Cook,SAS,30.0,36.0,0.0,21.028,11.8,0.509,0.098,0.178,2.9,5.8,4.3,16.2,2.6,0.3,15.4,20.6,0.476,0.194,0.496,0.821,0.039,-1.9,-1.6,-3.5,-0.3,9.611,2.333,1.639,1.194,0.111,1.722,G,None
48,1989,Michael Cooper,LAL,32.0,80.0,13.0,24.288,11.9,0.549,0.425,0.188,2.0,8.5,5.5,20.3,1.8,0.9,14.9,13.4,0.512,0.381,0.468,0.871,0.11,0.7,-0.3,0.4,1.2,7.338,3.925,2.388,0.9,0.4,1.175,G,None
49,1989,Wayne Cooper,DEN,32.0,79.0,72.0,23.595,13.6,0.53,0.009,0.239,11.1,23.8,17.1,5.0,0.9,6.4,13.0,11.6,0.497,0.25,0.498,0.745,0.128,-2.4,3.5,1.0,1.4,6.582,0.987,7.835,0.456,2.671,0.924,C,None
50,1989,Tyrone Corbin,PHO,26.0,77.0,30.0,21.494,14.7,0.592,0.004,0.394,11.8,13.7,12.8,8.9,2.3,0.4,14.7,15.0,0.54,0.0,0.542,0.788,0.156,1.9,1.8,3.6,2.3,8.195,1.532,5.169,1.065,0.169,1.195,F,None
51,1989,Dave Corzine,CHI,32.0,81.0,7.0,18.309,10.8,0.497,0.018,0.218,7.4,16.8,12.3,9.5,1.0,1.8,16.2,16.6,0.464,0.25,0.465,0.74,0.046,-3.5,0.2,-3.3,-0.5,5.914,1.272,3.889,0.358,0.556,1.148,C,None
52,1989,Pat Cummings,MIA,32.0,53.0,28.0,20.679,11.0,0.534,0.005,0.246,8.3,21.0,14.4,6.8,1.3,1.0,20.3,20.3,0.5,0.0,0.503,0.742,0.026,-4.0,-0.7,-4.7,-0.7,8.792,0.887,5.302,0.547,0.34,2.094,F,None
53,1989,Terry Cummings,MIL,27.0,80.0,78.0,35.3,19.7,0.518,0.01,0.294,11.3,15.3,13.3,11.7,1.8,1.6,10.2,28.9,0.469,0.467,0.467,0.787,0.131,1.6,0.0,1.7,2.6,22.862,2.475,8.125,1.325,0.9,2.512,F,Third
54,1989,Earl Cureton,CHH,31.0,82.0,41.0,24.963,10.1,0.512,0.002,0.265,9.7,17.1,13.2,8.4,1.2,1.8,18.0,12.7,0.501,0.0,0.502,0.537,0.035,-2.2,1.7,-0.5,0.8,6.488,1.585,5.951,0.61,0.744,1.39,C,None
55,1989,Dell Curry,CHH,24.0,48.0,0.0,16.938,18.3,0.527,0.106,0.088,3.4,11.2,7.1,11.2,2.5,0.3,7.5,29.5,0.51,0.345,0.509,0.87,0.052,1.1,-2.5,-1.4,0.1,11.896,1.042,2.167,0.875,0.083,0.917,G,None
56,1989,Quintin Dailey,LAC,28.0,69.0,51.0,24.957,16.3,0.511,0.009,0.297,4.3,8.4,6.3,14.2,2.4,0.2,10.1,27.7,0.465,0.111,0.468,0.759,0.056,-0.3,-2.4,-2.8,-0.3,16.145,2.232,2.957,1.304,0.087,1.768,G,None
57,1989,Adrian Dantley*,TOT,32.0,73.0,67.0,33.178,17.4,0.581,0.001,0.595,5.5,9.0,7.3,10.9,0.9,0.3,11.9,24.3,0.493,0.0,0.493,0.81,0.147,1.5,-1.3,0.2,1.4,19.178,2.342,4.342,0.589,0.178,2.233,F,None
58,1989,Adrian Dantley*,DET,32.0,42.0,42.0,31.929,18.2,0.613,0.0,0.616,4.7,8.9,6.9,10.5,0.9,0.3,11.4,22.7,0.521,,0.521,0.839,0.191,2.3,-0.6,1.7,1.3,18.381,2.214,3.905,0.548,0.143,1.929,F,None
59,1989,Adrian Dantley*,DAL,32.0,31.0,25.0,34.871,16.4,0.546,0.002,0.573,6.6,9.0,7.8,11.6,0.9,0.4,12.5,26.3,0.462,0.0,0.463,0.776,0.093,0.5,-2.1,-1.6,0.1,20.258,2.516,4.935,0.645,0.226,2.645,F,None
60,1989,Brad Daugherty,CLE,23.0,78.0,78.0,36.167,18.5,0.594,0.003,0.518,7.1,20.9,14.4,14.8,1.1,0.8,15.6,22.2,0.538,0.333,0.538,0.737,0.164,1.2,1.4,2.6,3.3,18.91,3.654,9.205,0.808,0.513,2.949,C,None
61,1989,Brad Davis,DAL,33.0,78.0,4.0,17.885,13.3,0.574,0.269,0.325,1.1,7.3,4.3,25.2,1.7,0.8,17.5,16.3,0.525,0.314,0.545,0.805,0.094,-0.2,-1.8,-2.0,0.0,6.372,3.103,1.385,0.615,0.231,1.179,G,None
62,1989,Walter Davis,DEN,34.0,81.0,0.0,22.926,16.7,0.544,0.064,0.185,2.2,6.5,4.2,15.3,1.7,0.2,10.2,26.7,0.507,0.29,0.512,0.879,0.092,0.6,-3.1,-2.5,-0.2,15.642,2.346,1.864,0.889,0.062,1.63,G,None
63,1989,Johnny Dawkins,SAS,25.0,32.0,30.0,33.844,13.4,0.505,0.01,0.28,3.1,7.3,5.1,28.9,2.3,0.0,19.8,20.1,0.443,0.0,0.447,0.893,0.044,-1.3,-1.4,-2.7,-0.2,14.188,7.0,3.156,1.719,0.0,3.469,G,None
64,1989,Vinny Del,SAC,22.0,80.0,2.0,19.45,12.7,0.52,0.04,0.199,3.3,8.6,5.9,19.0,2.0,0.5,12.3,16.4,0.481,0.3,0.482,0.85,0.077,-1.2,-0.6,-1.8,0.1,7.112,2.575,2.138,0.812,0.175,0.962,G,None
65,1989,James Donaldson,DAL,31.0,53.0,53.0,32.943,14.2,0.614,0.0,0.368,10.1,25.7,18.0,3.1,0.7,2.7,17.5,11.8,0.573,,0.573,0.766,0.122,-1.7,1.3,-0.4,0.7,9.075,0.717,10.755,0.453,1.528,1.566,C,None
66,1989,Clyde Drexler*,POR,26.0,78.0,78.0,39.282,23.6,0.555,0.062,0.328,9.9,11.9,10.9,22.2,3.2,1.0,11.6,27.2,0.504,0.26,0.511,0.799,0.197,5.9,1.5,7.3,7.2,27.218,5.769,7.885,2.731,0.692,3.205,G,None
